id	base	meaning	level	business	elevated	register	usage	context	example	translation	answers	question	explanation	tag
fast	fast	速い	中学	fast / quick / rapid	rapid	速い変化・進行	rapidは変化や進行の速度を述べる際によく使う。quickは短い時間で行うことにも使う。fastは副詞としても使える。	急速な増加を報告する。	We observed a ___ increase in traffic.	通信量の急速な増加を確認しました。	rapid	It runs fast. のfastをrapidにそのまま替えられるか。	できない。rapidは形容詞なので、It runs rapidly. のように副詞形が必要。ただし文脈ではruns fastが自然なことも多い。	技術説明
slow	slow	遅い	中学	slow / gradual（徐々の）	sluggish（鈍い）	遅さの性質を限定	gradualは徐々に変化することで、単に動作速度が遅いslowとは異なる。sluggishは反応や活動の鈍さを表す。	応答が鈍いことを指摘する。	The interface feels ___ after the update.	更新後、画面の反応が鈍く感じられます。	sluggish	slowとgradualは同じ意味か。	違う。slowは速度が遅い、gradualは変化が段階的・徐々であるという意味。急な変化かどうかという軸が加わる。	技術説明
easy	easy	簡単な	中学	easy / straightforward	straightforward	分かりやすく複雑でない	straightforwardは手順などが明快で複雑でないこと。努力が不要と断言する語ではない。	設定手順が複雑ではないと説明する。	The setup process is ___.	設定手順は分かりやすく、複雑ではありません。	straightforward	相手が困っているとき、This is easy. と断言すれば適切か。	相手の困難を軽視したように伝わる場合がある。具体的な手順や支援を示すことが重要で、単語の置換だけでは解決しない。	社外メール
hard	hard	難しい・硬い	中学	difficult / challenging	arduous（骨の折れる）	難しさと負担	challengingは困難だが取り組みがいのあるという含みを持つことがある。arduousは長く厳しい努力を要する。物の硬さのhardとは違う。	原因の特定が難しいと説明する。	It is ___ to identify the cause from this log alone.	このログだけから原因を特定することは困難です。	difficult	硬い素材をdifficult materialと訳してよいか。	物理的な硬さならhard material。difficult materialは理解や扱いが難しい資料などの意味になる。	技術説明
important	important	重要な	中学	important / essential	crucial	重要性・不可欠性	crucialは結果を左右するほど重要。essentialは不可欠。importantより丁寧なだけでなく、必要性を強める。	復旧に不可欠なバックアップを強調する。	A recent backup is ___ for recovery.	復旧には最近のバックアップが不可欠です。	essential	importantとessentialの違いは何か。	importantは重要であること。essentialは欠かせないことを表す。すべての重要事項が必須とは限らない。	技術説明
good	good	良い	中学	good / suitable / effective	favorable（好ましい）	良さの基準を明確化	suitableは目的に適する、effectiveは効果がある。favorableは条件や評価が好ましい。goodのすべての意味を兼ねない。	運用上の条件に適した方法を述べる。	This method is ___ for your environment.	この方法は御社の環境に適しています。	suitable	goodを具体化する際、suitableとeffectiveはどう違うか。	suitableは目的や条件との適合、effectiveは目的を達成する効果に焦点がある。	社外メール
bad	bad	悪い	中学	poor / unfavorable / adverse	adverse	悪影響・不利	poorは品質などの低さ、adverseは悪影響や不利な条件を表す。badを穏やかにするだけの表現ではない。	性能への悪影響の可能性を説明する。	This setting may have an ___ effect on performance.	この設定は性能に悪影響を及ぼす可能性があります。	adverse	badとadverseはどんな対象でも交換できるか。	できない。adverse effectやadverse conditionsのように影響や条件で使いやすい。人の性格などのbadを機械的に置換しない。	技術説明
right	right	正しい	中学	correct / appropriate	appropriate	正しさと適切さ	correctは誤りがないこと、appropriateは場面や目的に適切なこと。rightには右側など別の意味もある。	操作に適切な権限が必要だと説明する。	You need the ___ permissions to perform this action.	この操作を実行するには適切な権限が必要です。	appropriate|correct	文法がcorrectなら、社外メールでも常にappropriateか。	そうとは限らない。文法が正しくても、相手や場面に合わない表現がある。appropriateは適切さを評価する語。	技術説明
wrong	wrong	間違った	中学	incorrect / inaccurate	incorrect	誤りを明確に述べる	incorrectは正しくない、inaccurateは正確さを欠く。相手を責めず、値や手順などの対象を具体的に示す。	入力値が正しくないと説明する。	The value entered in this field is ___.	この欄に入力された値が正しくありません。	incorrect	incorrectとinaccurateは完全な同義語か。	完全には一致しない。incorrectは誤り、inaccurateは精度や正確さの不足を表し、概算値などにも使う。	技術説明
sure	sure	確かな	中学	certain / confident	certain	確実性と自信	certainは確かだと判断する、confidentは自信がある。どちらも根拠なしに確実性を高める目的で使わない。	解決策が有効だと自信を持って述べる。	We are ___ that this change will resolve the issue.	この変更で問題が解消すると確信しております。	confident	調査が不十分でもconfidentを使えば、顧客に安心してもらえるから適切か。	適切とは限らない。確信の表現は根拠の強さに合わせる。未確認ならmayやexpectなどを用いて見通しを限定する。	社外メール
enough	enough	十分な	中学	enough / sufficient	sufficient	必要量を満たす	sufficientは必要量や条件を満たすというやや正式な語。enoughも自然。置く位置に違いがある。	ディスクの空き容量が十分か確認する。	Please ensure that there is ___ disk space.	ディスクに十分な空き容量があることをご確認ください。	sufficient|enough	fast enoughのenoughをsufficientに替えられるか。	そのままでは不可。sufficiently fastなら形容詞を修飾できる。sufficient disk spaceのように名詞を修飾する形もある。	技術説明
possible	possible	可能な	中学	possible / feasible	feasible	現実的に実行可能	feasibleは時間・費用・条件を踏まえて実行可能であること。理論上possibleでもfeasibleではない場合がある。	現在の予算で実施可能か検討する。	We need to determine whether the plan is ___.	その計画が実行可能か確認する必要があります。	feasible	possibleとfeasibleでは、どの判断軸が異なるか。	possibleは可能性全般。feasibleは資源や制約の下で実際に実行できるかに焦点がある。	社外メール
useful	useful	役に立つ	中学	useful / helpful	beneficial	利益・良い効果をもたらす	beneficialは有益な効果や利益があることを表す。usefulは目的のために役に立つこと。beneficial toという形が使える。	研修に有益な効果があると述べる。	The training will be ___ to new employees.	その研修は新入社員にとって有益なものになるでしょう。	beneficial	usefulとbeneficialはどの点を強調するか。	usefulは道具や情報などの実用性、beneficialはもたらす良い効果や利益を強調する。	社外メール
clear	clear	明確な・澄んだ	中学	clear / explicit	explicit	明示されている	explicitは内容がはっきり言葉にされていること。clearは理解しやすさや透明さなども表す。	明示的な同意が必要だと述べる。	We need your ___ consent before proceeding.	作業を進める前に、明示的な同意が必要です。	explicit	clear waterのclearをexplicitに置き換えられるか。	できない。clear waterは澄んだ水。explicitは情報や意図が明示されていることを表す。	社外メール
small	small	小さい	中学	small / minor（軽微な）	-	大きさと重要度	minorは重要度・規模・深刻さが小さいことを示す。物理的に小さいものすべてに使うわけではない。	影響を確認したうえで軽微な修正と説明する。	This release includes a ___ correction to the text.	このリリースには文言の軽微な修正が含まれます。	minor	minor issueと書けば、実際の影響の説明は不要か。	不要にはならない。minorは評価であり、影響範囲などを示して根拠を伝える必要がある。	技術説明
old	old	古い	中学	old / previous / outdated	obsolete（廃れた）	古さと陳腐化	previousは前の、outdatedは時代や現状に合わなくなった、obsoleteは使われなくなった・時代遅れの意味。古いだけではobsoleteとは限らない。	現状に合わなくなった手順書を指摘する。	The instructions in this document are ___.	この文書の手順は現状に合わなくなっています。	outdated	古いバージョンをすべてobsoleteと呼んでよいか。	よくない。古くても現役で有効なものがある。previous versionやolder versionのほうが中立的な場合がある。	技術説明
happy	happy	うれしい	中学	happy / pleased	delighted	喜びを表す	pleasedは社外メールで使いやすい。delightedはより強い喜び。happyも十分に自然な表現。	提案を受け入れられることを喜んで伝える。	We are ___ to accept your proposal.	喜んでご提案をお受けいたします。	pleased|happy|delighted	be pleased toとbe delighted toでは何が異なるか。	どちらも喜びを表すが、delightedはより強い喜びを伝える。単に丁寧さだけの違いではない。	社外メール
sad	sad	悲しい	中学	sorry（残念に思う）	sorrowful	悲しみと残念な気持ち	sorrowfulは深い悲しみを表す文語的な語。業務上、残念な知らせにはsorryやregretを文の形に合わせて使う。	期待に沿えないことを残念に伝える。	We are ___ that we cannot meet your request.	ご要望にお応えできず、申し訳ございません。	sorry	業務上の不都合をsorrowfulで表せば適切に正式になるか。	通常はならない。sorrowfulは深い悲しみを表す。業務ではsorryやregretなどを内容に合わせて使う。	社外メール
tired	tired	疲れた	中学	tired	fatigued	疲労を表す硬めの語	fatiguedは疲労状態をやや正式・医学的に記述する。exhaustedは非常に疲れたという程度の強い表現で、単なる丁寧語ではない。	長旅の後、ひどく疲れた状態を描写する。	After the long journey, we were ___.	長旅の後、私たちは疲れ切っていました。	exhausted	tiredをexhaustedに替えると、文体だけが変わるか。	疲労の程度も強くなる。exhaustedは疲れ切っているという意味なので、軽い疲れには過剰になり得る。	表現・読解
angry	angry	怒った	中学	concerned（懸念） / dissatisfied（不満）	indignant	不当さへの憤り	indignantは不公平・不当だと感じて怒ること。concernedは心配・懸念、dissatisfiedは満足していないことで、angryと同一ではない。	サービスへの不満を冷静に述べる。	We are ___ with the level of service provided.	提供されたサービスの水準に満足しておりません。	dissatisfied	angryをconcernedに替えると、意味は保たれるか。	完全には保たれない。angryは怒り、concernedは懸念。意図を変えずに穏やかに伝えたいなら、不満の理由を具体的に述べる。	社外メール
careful	careful	注意深い	中学	careful / thorough（徹底した）	meticulous	細部まで注意を払う	meticulousは細かい点まで非常に注意深いこと。thoroughは抜けがないほど徹底していること。単に丁寧なcarefulではない。	記録の細部まで注意を払う人物を描写する。	She is ___ about keeping records.	彼女は細部まで注意を払って記録を残します。	meticulous	carefulとmeticulousでは何が異なるか。	meticulousは細部への高い注意を強調する。carefulは危険を避ける慎重さなどにも使う、より広い語。	表現・読解
kind	kind	親切な	中学	kind / considerate	benevolent	思いやりと善意	considerateは他人の事情や気持ちへの配慮。benevolentは善意や慈善心を表す硬い語。通常のお礼にはkindで自然。	相手の配慮に感謝する。	It was very ___ of you to arrange another meeting.	別の会議をご調整いただき、ご配慮に感謝いたします。	considerate|kind	kindをbenevolentに替えれば、日常の小さな親切へのお礼に適切か。	必ずしも適切ではない。benevolentは善意や慈善的な性格を述べる硬い語。kindやconsiderateが自然な場面が多い。	社外メール
thank	thank	感謝する	中学	thank / appreciate	appreciate	感謝を表す	thankは通常、人を目的語に取る。appreciateは支援・努力など、感謝する対象を目的語に取る形が使いやすい。	支援に感謝を伝える。	We ___ your assistance.	ご支援に感謝申し上げます。	appreciate	We appreciate for your help. は適切か。	通常はforを除いてWe appreciate your help. とする。Thank you for your help. ならforが必要。	社外メール
before	before	～より前に	中学	before	prior to	時系列を表す正式な句	prior toの後は名詞や動名詞。beforeは節も直接つなげられる。普通の手順書ではbeforeで十分に明確。	正式な手順文で、導入前の作業を述べる。	Back up the data ___ installation.	インストール前にデータをバックアップしてください。	prior to|before	prior to you installの形は自然か。	通常はprior to installationやprior to installingを使う。before you installなら節を続けられる。	技術説明
after	after	～の後に	中学	after / following	subsequent to	後続する時系列	subsequent toは硬い文書的な表現で、通常はafterが明快。followingも後にという意味で名詞の前に置ける。	再起動後に確認するよう案内する。	___ the restart, check that the service is running.	再起動後、サービスが実行中であることを確認してください。	After|Following	通常の操作手順でafterをsubsequent toに替える必要はあるか。	必要はない。afterで明確かつ自然。subsequent toは文書的に硬くなるが、情報が増えるわけではない。	技術説明
because	because	～なので	中学	because / because of	owing to	原因を示す	becauseは節、because ofやowing toは通常名詞句を続ける。owing toはやや文書的。因果関係を示すので根拠に注意する。	悪天候が遅延の原因だと説明する。	The delivery was delayed ___ severe weather.	悪天候のため配送が遅れました。	owing to|because of|due to	because of the server stoppedは適切か。	通常はbecause the server stopped、またはbecause of a server outageなどとする。because ofの後には名詞句を置く。	社外メール
but	but	しかし	中学	but / however	nevertheless	逆接と譲歩	neverthelessはそれにもかかわらず、という譲歩を表す。howeverは対比を示す接続副詞。butとは文法上の扱いが違う。	制約があっても実行可能だと述べる。	The budget is limited. ___, the project is feasible.	予算は限られています。それにもかかわらず、その計画は実行可能です。	Nevertheless|However	butとhoweverは同じ位置で句読点も変えずに交換できるか。	常にできるわけではない。howeverは接続副詞なので、独立した文やセミコロンなどでつなぐ形を検討する。	社外メール
so	so	だから	中学	so / therefore	consequently	結果・帰結を示す	thereforeは論理的帰結、consequentlyは結果として生じたことを表す。soは日常的な接続にも使える。	障害の結果としてサービスが停止したことを述べる。	The server failed. ___, the service became unavailable.	サーバーに障害が発生しました。その結果、サービスが利用できなくなりました。	Consequently|Therefore	so goodのsoをthereforeに替えられるか。	できない。so goodのsoは程度を強める副詞。thereforeはだから・したがってという帰結を示す。	技術説明
about	about	～について・約	中学	about / regarding	with regard to	話題を示す正式な句	regardingやwith regard toは～についてという話題を示す。約を意味するaboutには置き換えられない。	購入手続きについて質問があると述べる。	We have a question ___ the purchasing process.	購入手続きについて質問がございます。	regarding|about|with regard to	about ten minutesのaboutをregardingに替えられるか。	できない。このaboutは約という意味。regardingは話題や対象を示す。	社外メール
if	if	もし～なら	中学	if / provided that	provided that	条件を明示する	provided thatは～という条件で、という限定を強調する。ifは条件のほか、～かどうかの意味でも使う。	承認されることを条件に作業を進める。	We can proceed ___ the plan is approved.	計画が承認されることを条件に、作業を進められます。	provided that|if	I do not know if it works. のifをprovided thatに替えられるか。	できない。このifは～かどうかを表す。provided thatは条件を提示する場合に使う。	社外メール
almost	almost	ほとんど	中学	almost / nearly	virtually	実質的にほぼ	virtuallyは実質的にほぼという意味。数値に近いというalmostやnearlyと重なるが、どの構文でも交換できるわけではない。	実質的に同一だと説明する。	The two versions are ___ identical.	その2つのバージョンは実質的にほぼ同一です。	virtually|almost|nearly	virtuallyは常に仮想的にという意味か。	違う。virtually identicalでは実質的にほぼ同一という意味。文脈により語義を判断する。	技術説明
only	only	だけ・唯一の	中学	only / solely	solely	唯一の目的・原因に限定	solelyは～だけを理由・目的としてという限定に使いやすい。onlyは形容詞や副詞など用法が広い。	テストだけを目的に作成したと述べる。	This account was created ___ for testing.	このアカウントはテストのみを目的に作成されました。	solely|only	the only userのonlyをsolelyに替えられるか。	そのままでは替えられない。solelyは副詞なのでa solely userとはしない。the sole userという形なら唯一のユーザーを表せる。	技術説明
again	again	再び	中学	again / once more	anew	新たにやり直す	anewは新しく始め直す・やり直すという文語的な語。単に同じ操作を繰り返す場合はagainで自然。	接続をもう一度試してもらう。	Please try connecting ___.	もう一度接続をお試しください。	again|once more	againとanewはどう違うか。	againは繰り返し全般。anewは新たに・改めて始め直すという意味を含む。通常の再試行にはagainが自然。	技術説明
maybe	maybe	たぶん・もしかすると	中学	perhaps / may	perhaps	可能性を控えめに述べる	perhapsとmaybeは副詞。mayは助動詞なので文の構造を変える必要がある。may beは2語で、maybeとは文法が違う。	高負荷の可能性を、断定せずに述べる。	The server ___ be under heavy load.	サーバーに高い負荷がかかっている可能性があります。	may|might	The server maybe busy. はどう直せるか。	The server may be busy. またはMaybe the server is busy. とする。may beとmaybeは構文が異なる。	技術説明
accept	accept	受け入れる	高校	accept / approve	endorse（支持する）	受容・承認・支持	acceptは受け入れる、approveは承認する、endorseは支持を表明する。いずれも同一の行為とは限らない。	責任者が申請を承認する。	The manager will ___ the request.	責任者がその申請を承認します。	approve	accept、approve、endorseをどう区別するか。	acceptは受容、approveは承認、endorseは支持の表明に焦点がある。相手がどの行為をしたかに合わせる。	社外メール
reject	reject	拒否する	高校	decline / reject	-	拒否の表し方	declineは招待や申し出を丁重に断る場合に使いやすい。rejectは申請の却下や無効データの拒否にも使う。	招待を丁重に辞退する。	We must ___ your invitation on this occasion.	今回はご招待を辞退せざるを得ません。	decline	無効なリクエストをシステムが拒否する場合もdeclineが必須か。	必須ではない。reject an invalid requestが技術説明では明確。declineは人が申し出などを丁重に断る場面で使いやすい。	社外メール
suggest	suggest	提案する	高校	suggest / propose	propose	案を提示する	proposeは計画・方針などを提案するやや正式な語。suggestは控えめな提案にも使う。動詞の後の形に注意する。	新しい進め方を提案する。	We would like to ___ a different approach.	別の進め方をご提案したく存じます。	propose|suggest	I suggest you to restart. はどう直すか。	I suggest that you restart. またはI suggest restarting. とする。suggest someone to doの形は通常使わない。	社外メール
agree	agree	同意する	高校	agree / consent（承諾する）	concur	同意する・正式	concurは意見や判断に同意する硬い語。consentは許可・承諾の意味で、agreeのすべての用法とは重ならない。	評価に同意することを正式に述べる。	We ___ with your assessment.	ご評価に同意いたします。	concur|agree	concurを使えばagreeより強い契約上の約束になるか。	そのようには判断できない。concurは同意の文語的表現であり、約束の内容は文脈と具体的な合意事項で判断する。	社外メール
delay	delay	遅らせる・遅延	高校	delay / postpone	defer	後に回す	postponeは予定していたことを後に延期する。deferは判断や支払いなどを後に回す硬い語。delayは予定外の遅れにも使う。	判断を追加情報がそろうまで保留する。	We will ___ the decision until more information is available.	追加情報が得られるまで判断を延期します。	defer|postpone	通信遅延を説明するとき、delayをすべてpostponementに替えられるか。	できない。postponementは予定したことの延期。通信上の遅さや遅延はdelayやlatencyで説明する。	社外メール
cancel	cancel	取り消す	高校	cancel	rescind（撤回する）	決定の正式な撤回	rescindは決定・命令・承認などを正式に撤回する。会議を中止する通常の連絡ではcancelを使う。	既に行った承認を正式に撤回する。	The committee decided to ___ its earlier approval.	委員会は以前の承認を撤回することを決めました。	rescind	明日の会議を中止する案内にrescindを勧めるか。	通常はcancel the meetingが自然。rescindは決定や承認などを正式に撤回する場合に使う。	表現・読解
support	support	支援する・支持する	高校	support	advocate（提唱する）	支持と積極的な提唱	advocateは方針などを積極的に支持・提唱する。技術サポートをする意味のsupportには置き換えられない。	情報へのアクセス改善を提唱する。	We ___ better access to information.	私たちは情報へのアクセス改善を提唱します。	advocate	Windows 11をサポートするsupportをadvocateにできるか。	できない。このsupportは対応・動作支援という意味。advocateは方針や考えを積極的に提唱する意味である。	社外メール
result	result	結果	高校	result / outcome	consequence	結果・帰結	outcomeは活動や過程の最終的な結果を表す。consequenceは原因から生じる帰結で、不利益を含む文脈でも使う。必ず悪い結果というわけではない。	会議の結論・成果を報告する。	We will share the ___ of the meeting.	会議の結果を共有いたします。	outcome|result	consequenceは常に悪い結果を表すか。	常にそうではない。因果関係の結果を表す語だが、不利益や責任を伴う場面で使われることも多い。	社外メール
reason	reason	理由	高校	reason / cause	rationale	判断の根拠・理屈	rationaleは決定や方針を支える論理・根拠。causeは出来事を生じさせる原因。reasonは理由を広く示す。	設計判断の根拠を説明してもらう。	Could you explain the ___ behind this decision?	この決定の根拠をご説明いただけますでしょうか。	rationale	障害の物理的原因と設計判断の根拠は、同じ語でしか説明できないか。	違う。物理的な発生原因にはcause、判断を支える理屈にはrationaleが適する。reasonはより広い理由。	技術説明
chance	chance	機会・可能性	高校	opportunity / chance	prospect（見込み）	機会と見込み	opportunityは何かをする好機。chanceは機会や偶然・確率も表す。prospectは将来の見込み。	提案を説明する機会に感謝する。	Thank you for the ___ to present our proposal.	ご提案を説明する機会をいただき、ありがとうございます。	opportunity	成功の確率を表すchanceを、常にopportunityに替えられるか。	できない。chance of successは成功の可能性。opportunityは行動できる機会に焦点がある。	社外メール
goal	goal	目標	高校	goal / objective	objective	達成を目指すもの	objectiveは業務や研究で目標を明示する際に使いやすい。goalも正式な文章で使える。objectiveには客観的なという形容詞の意味もある。	プロジェクトの主要な目標を確認する。	The main ___ is to reduce response time.	主な目標は応答時間の短縮です。	objective|goal	objectiveは常にgoalより具体的で測定可能と断定できるか。	断定できない。組織内でそう定義することはあるが、単語自体だけで測定可能性は決まらない。具体的な基準を記す。	社外メール
rule	rule	規則	中学	rule / policy / regulation	regulation	規則と方針	policyは組織の方針、regulationは定められた規則。ruleは広い規則。法的な強制力などは単語だけで断定しない。	社内方針の更新を案内する。	We have updated our security ___.	セキュリティ方針を更新しました。	policy	policy、rule、regulationの違いは何か。	policyは方針、ruleは規則全般、regulationは制定された規則を指しやすい。実際の拘束力は文書や制度を確認する。	社外メール
cost	cost	費用	中学	cost / expense	expenditure	支出を正式に表す	expenditureは支出額や支出行為をまとめて示す硬い語。costは価格・必要費用、expenseは費用項目を指すことがある。	年間の支出総額を報告する。	Annual ___ increased by 5 percent.	年間支出は5パーセント増加しました。	expenditure	costとexpenditureは何に焦点があるか。	costは何かに必要な費用、expenditureは実際の支出・支出額に焦点がある。会計上の厳密な分類は別途定義する。	社外メール
pay	pay	支払う	中学	pay	remunerate（報酬を支払う）	支払いと労働への報酬	remunerateは仕事やサービスの対価として人に報酬を支払う硬い語。請求書の支払いにはpayが自然。	請求書の支払い期限を案内する。	Please ___ the invoice by the due date.	期日までに請求書のお支払いをお願いいたします。	pay	pay the invoiceをremunerate the invoiceにできるか。	できない。remunerateは通常、仕事をした人などに報酬を支払う意味。請求書にはpayを使う。	社外メール
avoid	avoid	避ける	高校	avoid / prevent（防ぐ）	avert	回避・防止	avoidは自分が遭遇・実行しないようにする。preventは出来事を起こさせない。avertは危険や災害などを未然に防ぐ硬い語。	同じ問題の再発を防ぐ。	We have taken steps to ___ the issue from recurring.	同じ問題の再発を防ぐための措置を講じました。	prevent	avoidとpreventはどう違うか。	avoidは避ける行為に焦点がある。preventは発生を防ぐ。prevent A from doingという形で、何かが起こるのを防ぐ意味になる。	技術説明
difficult	difficult	難しい	中学	difficult / complex（複雑な）	intricate（入り組んだ）	難易度と構造の複雑さ	complexは多くの要素が関係する複雑さ、intricateは細部が入り組んでいること。難しいdifficultと同じ評価軸ではない。	構造が複雑な仕組みを説明する。	The system has a ___ structure.	そのシステムは複雑な構造を持っています。	complex|intricate	単純な構造でもdifficultな仕事は存在するか。	存在する。difficultは実行や理解の難しさ、complexは構造の複雑さを示すため、両者は独立した軸である。	技術説明
necessary	necessary	必要な	中学	necessary / required	indispensable	不可欠で代替し難い	indispensableは欠かすことができないという強い語。requiredは要件や規則上求められることを明確にする。	手続きに管理者権限が必要と示す。	Administrator privileges are ___ for this operation.	この操作には管理者権限が必要です。	required|necessary	便利な機能をすべてindispensableと紹介してよいか。	よくない。indispensableは不可欠という強い主張。便利さを述べるならusefulやhelpfulが適切な場合がある。	技術説明
manage	manage	管理する・何とか行う	高校	manage / handle	administer	管理・運営する	administerは制度・システムなどを管理運営する正式な語。manage to doは何とか～するという別の意味を持つ。	複数のデータベースを管理する。	The team will ___ the databases.	そのチームがデータベースを管理します。	administer|manage	We managed to restore the data. のmanagedをadministeredに替えられるか。	できない。managed toは何とか達成したという意味。administerは管理・運営することを表す。	技術説明
